Employee First Name,Employee Last Name,Job Title,Employee Work Email,Company Name,Company Website,Company HQ Phone,Street,City,State Full,State,Zip Code,Country,Industries,Employees,Revenue,Job Level,Job Function
Dianne,Bascom,Vice President of Accounting,dianne.bascom@uni.edu,University of Northern Iowa,www.uni.edu,1.319.273.2311,1227 W 27th St,Cedar Falls,New York,IA,50614-0012,United States,"Education, Colleges and Universities",0 - 25,0 - 1000000,VP of Accounting,
William,McCloskey,Vice President of Accounting,dianne.bascom@uni.edu,American International Group (AIG),www.aig.com,1.212.770.7000,175 Water St,New York,New York,NY,10038-4918,United States,"Financial Services, Insurance and Risk Management",25-Jan,1 - 1000000,VP of Accounting,
Donald,Takaya,Vice President of Accounting,dianne.bascom@uni.edu,Edelman,www.edelman.com,1.312.240.3000,"200 E Randolph St Chicago, IL60601-6705",Chicago,New York,IL,60601-6705,United States,"Business Services, Advertising, Marketing and PR",25-Feb,2 - 1000000,VP of Accounting,
Christoph,Rode,Vice President of Accounting,dianne.bascom@uni.edu,T-Systems International,www.t-systems.com,1.630.493.6100,"1901 Butterfield Rd Downers Grove, IL60515-5403",Downers Grove,New York,IL,60515-5403,United States,"Software & Internet, Software",25-Mar,3 - 1000000,VP of Accounting,
Amanda,Vine,Vice President of Accounting,dianne.bascom@uni.edu,Jack Morton Worldwide,www.jackmorton.com,1.212.401.7000,"909 3rd Ave New York, NY10022-4731",New York,New York,NY,10022-4731,United States,"Business Services, Advertising, Marketing and PR",25-Apr,4 - 1000000,VP of Accounting,
Jay,Geipel,Vice President of Accounting,dianne.bascom@uni.edu,Dudnyk,www.dudnyk.com,1.215.443.9406,"5 Walnut Grove Dr Horsham, PA19044-2282",Horsham,New York,PA,19044-2282,United States,"Business Services, Advertising, Marketing and PR",25-May,5 - 1000000,VP of Accounting,
Shannon,Varroney,Vice President of Accounting,dianne.bascom@uni.edu,GolinHarris,www.golinharris.com,1.312.729.4000,875 N Michigan Ave Fl 26,Chicago,New York,IL,60611,United States,"Business Services, Advertising, Marketing and PR",25-Jun,6 - 1000000,VP of Accounting,
Jessica,Ring,Vice President of Accounting,dianne.bascom@uni.edu,"Lockton Companies, LLC",www.lockton.com,1.816.960.9000,"444 W 47th St Kansas City, MO64112-1906",Kansas City,New York,MO,64112-1906,United States,"Financial Services, Insurance and Risk Management",25-Jul,7 - 1000000,VP of Accounting,
Demetrios,Manthous,Vice President of Accounting,dianne.bascom@uni.edu,Arthur W Wood Co Inc,www.arthurwood.com,1.617.542.0500,"185 Devonshire St Boston, MA02110-1414",Boston,New York,MA,02110-1414,United States,"Financial Services, Securities Agents and Brokers",25-Aug,8 - 1000000,VP of Accounting,
Dan,Whitlow,Vice President of Accounting,dianne.bascom@uni.edu,"Lockton Companies, LLC",www.lockton.com,1.816.960.9000,"444 W 47th St Kansas City, MO64112-1906",Kansas City,New York,MO,64112-1906,United States,"Financial Services, Insurance and Risk Management",25-Sep,9 - 1000000,VP of Accounting,
